,Source Port,Destination Port,Packet Length,Packet Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Signature,Month_of_received,hour_of_the_day,day_of_the_week,is_weekend,Is_Private,protocol_ICMP,protocol_TCP,protocol_UDP,traffic_DNS,traffic_FTP,traffic_HTTP,Attack_Type_DDoS,Attack_Type_Intrusion,Attack_Type_Malware,Severity_High,Severity_Low,Severity_Medium,Segments_Segment A,Segments_Segment B,Segments_Segment C
0,31225,17616,503,1,1,28.67,1,0,5,6,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
1,17245,48166,1174,1,1,51.5,1,1,8,7,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
2,16811,53600,306,0,1,87.42,0,0,11,8,6,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
3,20018,32534,385,1,0,15.79,0,0,7,10,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
4,6131,26646,1462,1,0,0.52,0,0,7,13,6,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
5,17430,52805,1423,1,0,5.76,1,1,10,13,4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6,26562,17416,379,1,0,31.55,1,0,5,17,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
7,34489,20396,1022,1,1,54.05,0,1,2,7,6,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
8,56296,20857,1281,0,1,56.34,0,1,6,11,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
9,37918,50039,224,1,0,16.51,0,0,8,22,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
10,35538,35006,661,1,0,24.91,0,0,7,13,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
11,10903,36817,281,0,0,86.07,1,0,6,15,6,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
12,53471,38048,64,0,0,74.2,0,1,9,21,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
13,43729,10845,1341,1,0,62.14,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
14,47795,35243,913,1,0,72.65,0,0,2,13,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
15,24912,21176,425,1,0,91.56,0,0,9,20,4,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
16,39934,5259,838,0,0,43.83,0,0,4,16,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
17,16513,50583,969,1,0,40.46,1,1,2,7,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
18,4510,26783,124,0,0,44.75,0,0,12,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
19,55147,17595,461,1,1,13.19,1,0,7,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
20,24907,37634,845,0,0,89.99,0,0,7,20,4,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
21,37998,1757,410,0,1,86.91,1,0,4,14,4,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
22,3133,46077,1425,1,0,72.25,1,1,2,6,4,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
23,40832,28015,118,1,1,96.27,1,1,9,15,4,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
